Judul,Tahun,Penulis,Publikasi,Dikutip,Link
KARAKTERISTIK FISIK DAN SENSORI LIP BALM DENGAN PENAMBAHAN EKSTRAK KULIT BUAH NAGA (Hylocereus polyrhizus) DAN MINYAK ALPUKAT (Persea americana) SEBAGAI PELEMBAB BIBIR,2023,"Authors : A Khasanah, M Murhadi, S Hidayati, D Sartika","Jurnal Agroindustri Berkelanjutan 2 (2), 272-283, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'KARAKTERISTIK FISIK DAN SENSORI LIP BALM DENGAN PENAMBAHAN EKSTRAK KULIT BUAH NAGA (Hylocereus polyrhizus) DAN MINYAK ALPUKAT (Persea americana) SEBAGAI PELEMBAB BIBIR'
Estimation of vegetable leather shelf life from a combination of beluntas leaves (Pluchea indica L.) and seaweed (Eucheuma cottonii) with various types of packaging using the …,2023,"Authors : CA Brilian, S Astuti, D Sartika, S Hidayati","IOP Conference Series: Earth and Environmental Science 1182 (1), 012009, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Estimation of vegetable leather shelf life from a combination of beluntas leaves (Pluchea indica L.) and seaweed (Eucheuma cottonii) with various types of packaging using the …'
The bioactive compound of cassava (Manihot utillisima) leather as a natural antimicrobial by GC-MS,2023,"Authors : D Sartika, S Astuti, R Iswandari, S Subeki, MB Sudarwanto","AIP Conference Proceedings 2704 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'The bioactive compound of cassava (Manihot utillisima) leather as a natural antimicrobial by GC-MS'
Formulasi Tepung Kacang Hijau dan Tepung Tapioka Terhadap Sifat Sensori Nugget Ikan Swanggi (Priacanthus tayenus),2023,"Authors : S Utami, S Astuti, N Herdiana, D Sartika","Jurnal Agroindustri Berkelanjutan 2 (2), 284-297, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'Formulasi Tepung Kacang Hijau dan Tepung Tapioka Terhadap Sifat Sensori Nugget Ikan Swanggi (Priacanthus tayenus)'
Characteristics of Tallow-Based Soap by the Addition of Kefir Curd from Goat Milk,2023,"Authors : DT Marya, A Sofiana, M Hanif","Jurnal Ilmu-Ilmu Peternakan (Indonesian Journal of Animal Science) 33 (1), 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Characteristics of Tallow-Based Soap by the Addition of Kefir Curd from Goat Milk'
Modification zeolite LTA/TiO2-N for degradation of methylene blue dye waste,2023,"Authors : SB Ginting, EM Pratiwi, M Hanif, H Wardono","AIP Conference Proceedings 2601 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Modification zeolite LTA/TiO2-N for degradation of methylene blue dye waste'
Upaya Pengembangan Kecerdasan Majemuk melalui Bermain Sirkuit pada Pendidikan Anak Usia Dini,2023,"Authors : M Sit, NT Nst, K Nisa, A Turtati, NL Maghfiroh, H Rangkuti, N Syahputri","Jurnal Pendidikan dan Konseling (JPDK) 5 (1), 3225-3230, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Upaya Pengembangan Kecerdasan Majemuk melalui Bermain Sirkuit pada Pendidikan Anak Usia Dini'
Program Pemeriksaan Kesehatan Lansia di Lingkungan Songkolo Kelurahan Borongloe Kecamatan Bontomarannu,2023,"Authors : AI Agus, F Fitriani, K Nisa","Idea Pengabdian Masyarakat 3 (01), 1-5, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Program Pemeriksaan Kesehatan Lansia di Lingkungan Songkolo Kelurahan Borongloe Kecamatan Bontomarannu'
PENGARUH PEMBERIAN EKSTRAK BIJI KOPI ROBUSTA (Coffea canephora) LAMPUNG TERHADAP JUMLAH SEL PURKINJE CEREBELLUM TIKUS PUTIH (Rattus norvegicus) JANTAN GALUR Sprague dawley YANG …,2023,"Authors : I Nugroho, AJ Wulan, TA Larasati, KN Berawi","MAJORITY 11 (2), 87-95, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PEMBERIAN EKSTRAK BIJI KOPI ROBUSTA (Coffea canephora) LAMPUNG TERHADAP JUMLAH SEL PURKINJE CEREBELLUM TIKUS PUTIH (Rattus norvegicus) JANTAN GALUR Sprague dawley YANG …'
Hubungan Indeks Massa Tubuh (IMT) dan Lingkar Perut terhadap Risiko Jatuh Pada Lansia di Panti Jompo Werdha Lampung Selatan,2023,"Authors : MI zaki Rici, DN Fiana, AJ Wulan, KN Berawi","MAJORITY 11 (2), 113-120, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan Indeks Massa Tubuh (IMT) dan Lingkar Perut terhadap Risiko Jatuh Pada Lansia di Panti Jompo Werdha Lampung Selatan'
Hubungan Diabetes Melitus Dan Merokok Dengan Kejadian Benign Prostatic Hyperplasia (BPH): Tinjauan Pustaka,2023,"Authors : H Nirfandi, KN Berawi, E Hadibrata","Medical Profession Journal of Lampung 13 (2), 171-173, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan Diabetes Melitus Dan Merokok Dengan Kejadian Benign Prostatic Hyperplasia (BPH): Tinjauan Pustaka'
TANTANGAN MENYUSUI PADA IBU PEKERJA DI INDONESIA,2023,"Authors : TK Akbar, D Mayasari, KN Berawi, DI Anggraini","Jurnal Medika Malahayati 6 (4), 411-417, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'TANTANGAN MENYUSUI PADA IBU PEKERJA DI INDONESIA'
Hubungan Indeks Massa Tubuh terhadap Volume Oksigen Maksimal (VO2max) Mahasiswa Tingkat Pertama Fakultas Kedokteran Universitas Lampung,2023,"Authors : S Khairunnisa, DN Fiana, H Ismunandar, KN Berawi","Medical Profession Journal of Lampung 13 (1), 28-34, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan Indeks Massa Tubuh terhadap Volume Oksigen Maksimal (VO2max) Mahasiswa Tingkat Pertama Fakultas Kedokteran Universitas Lampung'
Strategi Bertahan Hidup Pakaian Bekas Di Pasar Uka Garuda Sakti Km 3 Pekanbaru,2023,"Authors : K Nisa, I Indrawati","Concept: Journal of Social Humanities and Education 2 (1), 142-152, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Strategi Bertahan Hidup Pakaian Bekas Di Pasar Uka Garuda Sakti Km 3 Pekanbaru'
Demo Inovasi Makanan Pendamping Asi (MPASI) Sebagai Bentuk Gerakan Anti Stunting di Desa Banglas,2023,"Authors : S Sumarto, F Syahdani, NF Azzahra, A Wina, E Syafriani, K Nisa, ...","Journal of Rural and Urban Community Empowerment (JRUCE) 4 (2), 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Demo Inovasi Makanan Pendamping Asi (MPASI) Sebagai Bentuk Gerakan Anti Stunting di Desa Banglas'
Identification of Physical Factors and Individual Characteristics Affecting The Event of Sick Building Syndrome (SBS) In Employees At The Class I Immigration Office of TPI …,2023,"Authors : A Adelia, KN Berawi, D Oktaria, WT Utama","MAJORITY 12 (1), 22-32, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Identification of Physical Factors and Individual Characteristics Affecting The Event of Sick Building Syndrome (SBS) In Employees At The Class I Immigration Office of TPI …'
Hubungan diabetes melitus dengan kejadian gagal ginjal kronik,2023,"Authors : SI Saputra, KN Berawi, S Susianti, E Hadibrata","Medical Profession Journal of Lampung 13 (5), 787-791, 2023",6 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan diabetes melitus dengan kejadian gagal ginjal kronik'
IMPLEMENTASI LKS BERORIENTASI HOTS PADA MATERI MOMENTUM DAN IMPULS UNTUK MENINGKATKAN KETERAMPILAN PROSES SAINS SISWA.,2023,Authors : N KHAIRUN,"FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI LKS BERORIENTASI HOTS PADA MATERI MOMENTUM DAN IMPULS UNTUK MENINGKATKAN KETERAMPILAN PROSES SAINS SISWA.'
Pengaruh Dukungan Sosial Keluarga Terhadap Kualitas Hidup Anak Penderita Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome Di RSUD Abdul Moeloek Provinsi Lampung,2023,"Authors : AD Pratiwi, RR Windi, KN Berawi","Medical Profession Journal of Lampung 13 (4), 600-608, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Dukungan Sosial Keluarga Terhadap Kualitas Hidup Anak Penderita Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome Di RSUD Abdul Moeloek Provinsi Lampung'
Faktor-Faktor Yang Berhubungan Dengan Kejadian Preeklampsia Pada Ibu Hamil: Tinjauan Pustaka,2023,"Authors : E Pirmansyah, KN Berawi","Medical Profession Journal of Lampung 13 (4), 575-577, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Faktor-Faktor Yang Berhubungan Dengan Kejadian Preeklampsia Pada Ibu Hamil: Tinjauan Pustaka'
Hubungan Perilaku 3M Plus Dengan Kejadian Demam Berdarah Dengue: Tinjauan Pustaka,2023,"Authors : MM Habibie, H Mutiara, K Berawi","Jurnal Kesehatan dan Agromedicine 10 (2), 1-4, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan Perilaku 3M Plus Dengan Kejadian Demam Berdarah Dengue: Tinjauan Pustaka'
Combination of XGBoost-Grid Search with SVM for Diabetes Diagnostics,2023,"Authors : KN Berawi, ER Susanto, A Wantoro, MND Satria, H Busman, A Wibowo","2023 International Conference on Networking, Electrical Engineering …, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Combination of XGBoost-Grid Search with SVM for Diabetes Diagnostics'
ANALISIS PERENCANAAN PEMBANGUNAN JARINGAN BERDASARKAN KABELISASI SUTM MENJADI SKTM DI WILAYAH KSPN BOROBUDUR BERBASIS SOFTWARE ETAP,2023,Authors : K Nisa,"Universitas Gadjah Mada, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'ANALISIS PERENCANAAN PEMBANGUNAN JARINGAN BERDASARKAN KABELISASI SUTM MENJADI SKTM DI WILAYAH KSPN BOROBUDUR BERBASIS SOFTWARE ETAP'
Pengelolaan Potensi Bahaya dan Risiko Kerja pada Pekerja Kampung Maggot Bandar Lampung,2023,"Authors : KN Berawi, N Karima, TF Zahra, MIH Siregar, DA Safira, S Nurhaliza, ...","Poltekita: Jurnal Pengabdian Masyarakat 4 (4), 1039-1049, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengelolaan Potensi Bahaya dan Risiko Kerja pada Pekerja Kampung Maggot Bandar Lampung'
Hubungan Massa Otot dengan Vo 2 max pada Mahasiswa Fakultas Kedokteran Universitas Lampung dengan Metode Balke Test,2023,"Authors : DN Fiana, MS Putri, K Berawi, R Wintoko, F Rahmayani","Jurnal Kedokteran Universitas Lampung 7 (2), 125-127, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Hubungan Massa Otot dengan Vo 2 max pada Mahasiswa Fakultas Kedokteran Universitas Lampung dengan Metode Balke Test'
"Hubungan Tingkat Pendidikan, Jenis Pekerjaan Dan Status Nutrisi Terhadap Kejadian Katarak Senilis Di RSUD Jendral Ahmad Yani Kota Metro 2022",2023,"Authors : ES Samosir, R Himayani, K Berawi","Jurnal Kesehatan dan Agromedicine 10 (2), 39-44, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Hubungan Tingkat Pendidikan, Jenis Pekerjaan Dan Status Nutrisi Terhadap Kejadian Katarak Senilis Di RSUD Jendral Ahmad Yani Kota Metro 2022'"
Harnessing the power of probiotics to enhance neuroplasticity for neurodevelopment and cognitive function in stunting: a comprehensive review,2023,"Authors : K Nisa, R Arisandi, N Ibrahim, H Hardian","International Journal of Neuroscience, 1-11, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'Harnessing the power of probiotics to enhance neuroplasticity for neurodevelopment and cognitive function in stunting: a comprehensive review'
Kolaborasi Pendidik Dan Peserta Didik dalam Mewujudkan Digitalisasi dan Penguasaan Teknologi Pada Pembelajaran Abad 21,2023,"Authors : K Nisa, N Amanda, RA Pribadi","Jurnal Basicedu 7 (3), 1433-1445, 2023",8 cited,https://scholar.google.com/scholar?q=+intitle:'Kolaborasi Pendidik Dan Peserta Didik dalam Mewujudkan Digitalisasi dan Penguasaan Teknologi Pada Pembelajaran Abad 21'
SISTEM PAKAR UNTUK DIAGNOSA GANGGUAN KESEHATAN MENTAL PADA ANAK REMAJA DENGAN MENGGUNAKAN METODE FORWARD CHAINING,2023,Authors : K Nisa,"Universitas Satya Negara Indonesia, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'SISTEM PAKAR UNTUK DIAGNOSA GANGGUAN KESEHATAN MENTAL PADA ANAK REMAJA DENGAN MENGGUNAKAN METODE FORWARD CHAINING'
Daily consumption of Ambon banana (Musa paradisiaca var. sapientum) improve cardiometabolic indicators and reduce plasma MDA levels in adult male with central obesity,2023,"Authors : K Nisa, DN Fiana, L Sidharti","Health Biotechnology and Biopharma (HBB) 7 (1), 78-89, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Daily consumption of Ambon banana (Musa paradisiaca var. sapientum) improve cardiometabolic indicators and reduce plasma MDA levels in adult male with central obesity'
EFEKTIVITAS JUS JERUK TERHADAP HEMOGLOBIN DARAH PADA IBU HAMIL DI PUSKESMAS BULOK KABUPATEN TANGGAMUS TAHUN 2023,2023,Authors : K Nisa,"Skripsi/KTI Kebidanan, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'EFEKTIVITAS JUS JERUK TERHADAP HEMOGLOBIN DARAH PADA IBU HAMIL DI PUSKESMAS BULOK KABUPATEN TANGGAMUS TAHUN 2023'
Pengaruh Penggunaan Permainan Lompat Tali Terhadap Permainan Lompat Tali Usia Terhadap Perkembangan Motorik Kasar Usia Anak 5-6 Tahun Di TK Amal Shaleh,2023,"Authors : K Nisa, D Rangkuti","Innovative: Journal Of Social Science Research 3 (5), 3352-3360, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penggunaan Permainan Lompat Tali Terhadap Permainan Lompat Tali Usia Terhadap Perkembangan Motorik Kasar Usia Anak 5-6 Tahun Di TK Amal Shaleh'
PENGARUH PENGGUNAAN PERMAINAN LOMPAT TALI TERHADAP PERKEMBANGANMOTORIK KASAR ANAK USIA 5-6 TAHUN DI TK AMAL SHALEH TA 2022-2023,2023,Authors : K NISA,"FKIP UMN Al-WASHLIYAH 15 PG-PAUD 2023, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PENGGUNAAN PERMAINAN LOMPAT TALI TERHADAP PERKEMBANGANMOTORIK KASAR ANAK USIA 5-6 TAHUN DI TK AMAL SHALEH TA 2022-2023'
Makna Simbolik Ekowisata Hutan Bambu Alu Bagi Masyarakat Alu,2023,"Authors : K Nisa, T Firdaus, D Ekayanti, A Qamaruddin","JESD: Journal of Education Social and Development 1 (2), 141-147, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Makna Simbolik Ekowisata Hutan Bambu Alu Bagi Masyarakat Alu'
GAMBARAN KEJADIAN REAKSI TRANSFUSI DARAHDI RSUD KABUPATEN BUTON,2023,"Authors : K Nisa, K Nisa","DIII T. Bank Darah Semarang, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'GAMBARAN KEJADIAN REAKSI TRANSFUSI DARAHDI RSUD KABUPATEN BUTON'
"LAPORAN PRAKTIK KERJA LAPANGAN 1 GAMBARAN UMUM, ADMINISTRASI DAN IMPLEMENTASI SIKLUS AKUNTANSI KANTOR KEBUN KANDISTA ESTATE, PT. IVOMAS TUNGGAL RIAU",2023,Authors : N KHAIRUN,"Politeknik LPP Yogyakarta, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'LAPORAN PRAKTIK KERJA LAPANGAN 1 GAMBARAN UMUM, ADMINISTRASI DAN IMPLEMENTASI SIKLUS AKUNTANSI KANTOR KEBUN KANDISTA ESTATE, PT. IVOMAS TUNGGAL RIAU'"
"Pembuatan Ternak Ikan Dan Perkebunan Dengan Memanfaatkan Sumber Air Pegunungan Untuk Meningkatkan Penghasilan Penduduk Desa Batu Keramat Kecamatan Kota Agung Timur, Tanggamus …",2023,"Authors : O Dewanto, B Irawan, RC Wibowo","Jurnal Pengabdian Kepada Masyarakat Sakai Sambayan 7 (1), 38-43, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pembuatan Ternak Ikan Dan Perkebunan Dengan Memanfaatkan Sumber Air Pegunungan Untuk Meningkatkan Penghasilan Penduduk Desa Batu Keramat Kecamatan Kota Agung Timur, Tanggamus …'"
"Analisis Zona mengandung Hidrokarbon dan Elektrofaseis pada Formasi Kujung I, Cekungan Jawa Timur",2023,"Authors : IN Kumalasari, IS Winardhie, RC Wibowo, O Dewanto","Jurnal Teknologi dan Inovasi Industri (JTII) 4 (1), 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Analisis Zona mengandung Hidrokarbon dan Elektrofaseis pada Formasi Kujung I, Cekungan Jawa Timur'"
"The implementation of well logging method, geochemical analysis, and seismic method to determine source rock potentials at field “X”, Northeast Java Basin",2023,"Authors : O Dewanto, RC Wibowo, ACE Putri","Journal of Physics: Conference Series 2498 (1), 012050, 2023",1 cited,"https://scholar.google.com/scholar?q=+intitle:'The implementation of well logging method, geochemical analysis, and seismic method to determine source rock potentials at field “X”, Northeast Java Basin'"
Identifikasi Lingkungan Pengendapan Batuan Karbonat Cekungan Jawa Timur Utara Menggunakan Analisis Elektrofasies Data Log Gamma-Ray,2023,"Authors : RC Wibowo, VN Yandi, O Dewanto, S Rasimeng","J. Geosaintek 9 (1), 1-7, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'Identifikasi Lingkungan Pengendapan Batuan Karbonat Cekungan Jawa Timur Utara Menggunakan Analisis Elektrofasies Data Log Gamma-Ray'
GEOLOGICAL INTERPRETATION OF THE OFFSHORE SEDIMENTARY BASIN OF NORTH CENTRAL JAVA BASED ON SPECTRAL ANALYSIS AND 2D GRAVITY MODELING,2023,"Authors : R Ningsih, I Setiadi, R Rahardiawan, O Dewanto, R Mulyasari","Bulletin of the Marine Geology 37 (2), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'GEOLOGICAL INTERPRETATION OF THE OFFSHORE SEDIMENTARY BASIN OF NORTH CENTRAL JAVA BASED ON SPECTRAL ANALYSIS AND 2D GRAVITY MODELING'
"Analysis of Unconventional Oil and Gas Reservoirs using Well Logging, Geochemical and Seismic Data: Analisis Reservoar Migas Non-Konvensional Menggunakan Data Well Logging …",2023,"Authors : RC Wibowo, ACE Putri, O Dewanto","Jurnal Geocelebes, 154–167-154–167, 2023",3 cited,"https://scholar.google.com/scholar?q=+intitle:'Analysis of Unconventional Oil and Gas Reservoirs using Well Logging, Geochemical and Seismic Data: Analisis Reservoar Migas Non-Konvensional Menggunakan Data Well Logging …'"
"Air Pegunungan Untuk Ternak Ikan Dengan Tujuan Meningkatkan Penghasilan Masyarakat Desa Bernung, Gedong Tataan",2023,"Authors : O Dewanto, BS Mulyatno, RC Wibowo, I Dani, IN Kumalasari",,0 cited,"https://scholar.google.com/scholar?q=+intitle:'Air Pegunungan Untuk Ternak Ikan Dengan Tujuan Meningkatkan Penghasilan Masyarakat Desa Bernung, Gedong Tataan'"
Landslide Potential Zone Identification Using Electrical Resistivity Tomography Modeling,2023,"Authors : MB Alghifarry, O Dewanto, RC Wibowo","Journal of Engineering and Scientific Research 5 (2), 63-69, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Landslide Potential Zone Identification Using Electrical Resistivity Tomography Modeling'
Identifikasi Total Organic Carbon pada Sumur BTO Berdasarkan Data Core dan Data Log di Jawa Timur Utara,2023,"Authors : M Bagus, D Ordas, I Dani, K Isti Nur, W Ambrosius Hernawan, S Suharso","Prosiding Seminar Nasional Ilmu Teknik dan Aplikasi Industri (SINTA) 2023 6, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Identifikasi Total Organic Carbon pada Sumur BTO Berdasarkan Data Core dan Data Log di Jawa Timur Utara'
"Pelatihan Pembuatan Website Untuk Peningkatan Publikasi Desa Wisata Di Desa Gebang, Kec. Padang Cermin, Kab. Pesawaran",2023,"Authors : R Sholehurrohman, IS Ilman, Y Heningtyas, M Muhaqiqin","Journal of Social Sciences and Technology for Community Service (JSSTCS) 4 …, 2023",3 cited,"https://scholar.google.com/scholar?q=+intitle:'Pelatihan Pembuatan Website Untuk Peningkatan Publikasi Desa Wisata Di Desa Gebang, Kec. Padang Cermin, Kab. Pesawaran'"
Peningkatan Keterampilan Penggunaan Fitur Mail-Merge Microsoft Word Bagi Guru dan Staf SMK Muhammadiyah Seputih Raman,2023,"Authors : DA Shofiana, YT Utami, Y Heningtyas, R Prabowo","Journal of Social Sciences and Technology for Community Service (JSSTCS) 4 …, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Keterampilan Penggunaan Fitur Mail-Merge Microsoft Word Bagi Guru dan Staf SMK Muhammadiyah Seputih Raman'
Penerapan Metode Support Vector Machine (SVM) dalam Klasifikasi Penderita Diabetes Mellitus,2023,"Authors : FR Lumbanraja, F Lufiana, Y Heningtyas","vol, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'Penerapan Metode Support Vector Machine (SVM) dalam Klasifikasi Penderita Diabetes Mellitus'
Evaluasi Performa Sistem Informasi FMIPA Universitas Lampung Menggunakan Information Systems Functional Scorecard (ISFS),2023,"Authors : I Hardiyanto, AR Irawati, Y Heningtyas, R Andrian","Jurnal Pepadun 4 (2), 126-139, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Evaluasi Performa Sistem Informasi FMIPA Universitas Lampung Menggunakan Information Systems Functional Scorecard (ISFS)'
Peningkatan Kemampuan Mahasiswa Tadris Matematika IAIN Metro Dalam Pembuatan Media Pembelajaran Interaktif Berbasis IT,2023,"Authors : Y Heningtyas, R Prabowo, F Ikashaum","Jurnal Pengabdian Kepada Masyarakat (JPKM) TABIKPUN 4 (2), 97-104, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Kemampuan Mahasiswa Tadris Matematika IAIN Metro Dalam Pembuatan Media Pembelajaran Interaktif Berbasis IT'
Peningkatan Pengetahuan Gizi Ibu tentang Konsumsi Protein Hewani untuk Cegah Stunting melalui Penyuluhan dan Permainan Puzzle Isi Piringku,2023,"Authors : R Komala, W Febriani, E Nurrahmawati, K Ariska","JPM (Jurnal Pengabdian Masyakat) Ruwa Jurai 8 (1), 35-40, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Pengetahuan Gizi Ibu tentang Konsumsi Protein Hewani untuk Cegah Stunting melalui Penyuluhan dan Permainan Puzzle Isi Piringku'
"The Correlation of Adiposity, Energy, and Macronutrients Intake with Cardiorespiratory Fitness in Obese Male Adolescents in Bogor.",2023,"Authors : B Setiawan, R Komala, W Febriani, H Riyadi","Malaysian Journal of Medicine & Health Sciences 19, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'The Correlation of Adiposity, Energy, and Macronutrients Intake with Cardiorespiratory Fitness in Obese Male Adolescents in Bogor.'"
Correlation between Mother’s nutritional knowledge with nutritional status (height for age and BMI for age) of children,2023,"Authors : R Komala, W Febriani, K Ariska, E Nurrahmawati","Al-Athfaal: Jurnal Ilmiah Pendidikan Anak Usia Dini 6 (1), 82-91, 2023",7 cited,https://scholar.google.com/scholar?q=+intitle:'Correlation between Mother’s nutritional knowledge with nutritional status (height for age and BMI for age) of children'
Pengaruh metode pembuatan tepung kulit pisang kepok (Musa paradisiaca Linn) terhadap sifat kimia,2023,"Authors : PE Safitri, AR Pratiwi, LA Lestari, DA Wati, W Febriani","Jurnal Teknologi Pangan dan Gizi (Journal of Food Technology and Nutrition …, 2023",5 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh metode pembuatan tepung kulit pisang kepok (Musa paradisiaca Linn) terhadap sifat kimia'
Pelatihan Kader Malaria Pada Populasi Khusus Sebagai Langkah Nyata Menuju Eliminasi Malaria Di Kawasan Wisata Pesisir Kecamatan Rajabasa Kabupaten Lampung Selatan,2023,"Authors : S Suharmanto, E Hadibrata, RM Larasati, H Yuningrum, SE Lusina, ...","JPM (Jurnal Pengabdian Masyakat) Ruwa Jurai 8 (2), 75-79, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Kader Malaria Pada Populasi Khusus Sebagai Langkah Nyata Menuju Eliminasi Malaria Di Kawasan Wisata Pesisir Kecamatan Rajabasa Kabupaten Lampung Selatan'
"Edukasi Bahaya Meal Skipping pada Remaja Putri di Desa Karang Anyar, Lampung Selatan",2023,"Authors : SM Wijaya, R Komala, W Febriani","JPM (Jurnal Pengabdian Masyakat) Ruwa Jurai 8 (2), 14-19, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Edukasi Bahaya Meal Skipping pada Remaja Putri di Desa Karang Anyar, Lampung Selatan'"
KNOWLEDGE IMPROVEMENT OF NUTRITION AND ENGLISH IN SCHOOL-AGE CHILDREN IN THE COVID-19 PANDEMIC ERA.,2023,"Authors : R Komala, W Febriani","Darmabakti Cendekia: Journal of Community Service & Engagements 5 (2), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'KNOWLEDGE IMPROVEMENT OF NUTRITION AND ENGLISH IN SCHOOL-AGE CHILDREN IN THE COVID-19 PANDEMIC ERA.'
PEMBELAJARAN TARI KEMBANG MELINTING PADA EKSTRAKULIKULER TARI DI SMAS BINA MULYA GADINGREJO,2023,"Authors : IW Mustika, S Soleh, R Prayogi","JURNAL TIYUH LAMPUNG 7 (1 JUN), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARAN TARI KEMBANG MELINTING PADA EKSTRAKULIKULER TARI DI SMAS BINA MULYA GADINGREJO'
NILAI-NILAI PENDIDIKAN KARAKTER PADA TARI KIAMAT KERATUAN DARAH PUTIH,2023,"Authors : EY Saputra, F Ariyani, IW Mustika","JURNAL TIYUH LAMPUNG 7 (1 JUN), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'NILAI-NILAI PENDIDIKAN KARAKTER PADA TARI KIAMAT KERATUAN DARAH PUTIH'
Piil Pesenggiri concept in the lyrics of the song’Mulang Tiyuh’as a strategy for the application of character education values high school students in Bandar Lampung city,2023,"Authors : IW Mustika, T Sinaga, ES Agustina","AIP Conference Proceedings 2621 (1), 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Piil Pesenggiri concept in the lyrics of the song’Mulang Tiyuh’as a strategy for the application of character education values high school students in Bandar Lampung city'
Sejarah dan Eksistensi Peninggalan Situs Megalitik Batu Brak,2023,"Authors : A Triaristina, YS Ekwandari, S Sumargono, WW Dahari, R Alfarisi","Jurnal Artefak 10 (1), 63-76, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'Sejarah dan Eksistensi Peninggalan Situs Megalitik Batu Brak'
Pelatihan Pembuatan Media Pembelajaran Interaktif Berbasis Android bagi MGMP Sejarah Lampung Selatan,2023,"Authors : A Triaristina, V Aswandi","Nuwo Abdimas 2 (1), 38-49, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Pembuatan Media Pembelajaran Interaktif Berbasis Android bagi MGMP Sejarah Lampung Selatan'
Workshop Pembelajaran Tematik Berbasis Metode Permainan (game method) Dalam Upaya Menciptakan Pembelajaran Kreatif dan Menyenangkan Bagi Guru-Guru SD. N Tegineneng Kabupaten …,2023,"Authors : M Imanita, YS Ekwandari, A Triaristina","Indonesia Berdaya 4 (3), 1197-1202, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Workshop Pembelajaran Tematik Berbasis Metode Permainan (game method) Dalam Upaya Menciptakan Pembelajaran Kreatif dan Menyenangkan Bagi Guru-Guru SD. N Tegineneng Kabupaten …'
